class_name,image_path,split
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\759.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\8906.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\10123.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\6372.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\10752.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\2783.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\105.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\10401.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\4899.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\test\234.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\8376.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\2511.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\159.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\4990.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\7672.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\880.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\10139.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\4256.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\9743.jpeg,train
saree,R:\Educational Learning\Assessment Project\indian-ethnic-clothing-classification\data\raw\indofashion_dataset\images\train\3306.jpeg,train
